,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),System Load (kW),Current (A),Dust and Dirt Accumulation (g/m²),Battery Low Flag,Customer Profile,Solar Irradiance (W/m²)
236,23.09781972,289.7777479,0.505607983,0.327973698,0.505607983,2.298218107,0.237,True,Residential,
238,23.37188687,297.4334584,0.44812125,0.347575035,0.44812125,2.036914774,0.239,False,Residential,
239,23.66472475,299.357677,0.498731257,0.309903087,0.498731257,2.266960257,0.24,True,Residential,
241,22.46444017,299.357677,0.567533515,0.335059692,0.567533515,2.579697794,0.242,True,Residential,
243,23.62163473,294.2355841,0.456918318,0.342374097,0.456918318,2.076901448,0.244,False,Residential,
244,22.71732308,289.7777479,0.296813288,0.301703413,0.296813288,1.349151308,0.245,True,Residential,
246,22.95350064,277.1638598,0.214668466,0.370964288,0.214668466,0.975765755,0.247,False,Residential,
247,22.63272099,269.0618225,0.264362133,0.386588137,0.264362133,1.201646058,0.248,False,Residential,
248,23.35441965,259.8076211,0.427245366,0.387763059,0.427245366,1.942024391,0.249,False,Residential,
249,22.54969422,249.4408837,0.527561939,0.345903623,0.527561939,2.398008815,0.25,True,Residential,
251,22.07192829,225.5519422,0.497421311,0.335874859,0.497421311,2.261005958,0.252,True,Residential,
253,21.0,197.8037445,0.29795074,0.320940526,0.29795074,1.354321546,0.254,True,Residential,
255,21.0,166.6710699,0.302246103,0.341560884,0.302246103,1.373845924,0.256,False,Residential,
256,21.0,150.0,0.28804844,0.307667126,0.28804844,1.309311093,0.257,True,Residential,
258,21.35355316,114.8050297,0.308772055,0.306326667,0.308772055,1.403509341,0.259,True,Residential,
261,22.74857661,58.5270966,0.294835764,0.301354299,0.294835764,1.340162565,0.262,True,Residential,
317,23.4276105,96.43183959,0.277921906,0.305709733,0.277921906,1.263281392,0.318,True,Residential,
320,23.37548132,150.0,0.383120441,0.322210126,0.383120441,1.741456549,0.321,True,Residential,
322,22.46415718,182.6284287,0.529457574,0.305597783,0.529457574,2.406625335,0.323,True,Residential,
325,21.79477007,225.5519422,0.271656281,0.321374442,0.271656281,1.234801275,0.326,False,Residential,
326,21.48714387,238.0060021,0.333475458,0.309848357,0.333475458,1.515797535,0.327,True,Residential,
328,21.78950407,259.8076211,0.427261288,0.348341214,0.427261288,1.942096765,0.329,False,Residential,
329,21.67339088,269.0618225,0.214668979,0.306477797,0.214668979,0.975768088,0.33,False,Residential,
330,21.01511468,277.1638598,0.459800982,0.320076008,0.459800982,2.090004465,0.331,True,Residential,
332,21.66433847,289.7777479,0.428347948,0.345436487,0.428347948,1.947036127,0.333,False,Residential,
333,21.94718064,294.2355841,0.293892202,0.310793937,0.293892202,1.335873644,0.334,False,Residential,
334,21.79161827,297.4334584,0.574986499,0.310879783,0.574986499,2.613574994,0.335,True,Residential,
336,22.64852025,300.0,0.384163622,0.316330942,0.384163622,1.746198282,0.337,True,Residential,
338,23.01921063,297.4334584,0.209826493,0.370129456,0.209826493,0.953756788,0.339,False,Residential,
339,23.17784437,294.2355841,0.486958617,0.392031197,0.486958617,2.213448261,0.34,False,Residential,
340,23.13710369,289.7777479,0.317620053,0.343850438,0.317620053,1.443727515,0.341,False,Residential,
341,22.46176576,284.0790388,0.288667265,0.336889862,0.288667265,1.312123931,0.342,False,Residential,
342,23.42214114,277.1638598,0.503266029,0.335742806,0.503266029,2.287572857,0.343,True,Residential,
344,22.84926725,259.8076211,0.224206943,0.346482719,0.224206943,1.019122467,0.345,False,Residential,
345,23.84175607,249.4408837,0.513716829,0.355382889,0.513716829,2.335076495,0.346,True,Residential,
347,23.60976364,225.5519422,0.244302685,0.348815403,0.244302685,1.110466751,0.348,False,Residential,
348,23.33246124,212.1320344,0.472232136,0.344127717,0.472232136,2.146509709,0.349,True,Residential,
350,23.36017025,182.6284287,0.238072611,0.328553628,0.238072611,1.082148234,0.351,False,Residential,
351,23.74548031,166.6710699,0.359737637,0.314692582,0.359737637,1.635171077,0.352,True,Residential,
353,23.39820128,132.6866071,0.408128298,0.30392594,0.408128298,1.855128628,0.354,True,Residential,
357,24.0342805,58.5270966,0.48468897,0.307286163,0.48468897,2.203131683,0.358,True,Residential,
415,23.39612993,132.6866071,0.399051852,0.316987513,0.399051852,1.813872057,0.416,True,Residential,
418,21.49068963,182.6284287,0.304562921,0.329563969,0.304562921,1.384376914,0.419,True,Residential,
420,21.38931263,212.1320344,0.254578372,0.348531282,0.254578372,1.157174419,0.421,False,Residential,
421,22.35572321,225.5519422,0.481377594,0.337919698,0.481377594,2.188079971,0.422,True,Residential,
423,23.28903064,249.4408837,0.382203188,0.333464785,0.382203188,1.73728722,0.424,False,Residential,
424,24.25647575,259.8076211,0.467816797,0.300274209,0.467816797,2.126439988,0.425,True,Residential,
426,24.68673506,277.1638598,0.566460081,0.315537371,0.566460081,2.574818548,0.427,True,Residential,
428,25.07293806,289.7777479,0.377112675,0.314233075,0.377112675,1.714148521,0.429,True,Residential,
430,25.94844491,297.4334584,0.300684304,0.36595824,0.300684304,1.366746837,0.431,False,Residential,
431,26.22472148,299.357677,0.463813106,0.365145528,0.463813106,2.10824139,0.432,False,Residential,
432,25.58320091,300.0,0.24773539,0.324031671,0.24773539,1.126069956,0.433,False,Residential,
433,25.01700567,299.357677,0.243636471,0.337097823,0.243636471,1.107438503,0.434,False,Residential,
434,25.90746478,297.4334584,0.477975714,0.351028125,0.477975714,2.172616883,0.435,False,Residential,
435,25.19027005,294.2355841,0.571818567,0.305892561,0.571818567,2.599175305,0.436,True,Residential,
437,24.52897154,284.0790388,0.465159616,0.308941252,0.465159616,2.114361893,0.438,True,Residential,
439,24.71747288,269.0618225,0.235671318,0.332962073,0.235671318,1.071233264,0.44,False,Residential,
440,24.5199894,259.8076211,0.572182875,0.341309699,0.572182875,2.600831248,0.441,True,Residential,
442,24.70201152,238.0060021,0.340698368,0.325576106,0.340698368,1.548628947,0.443,True,Residential,
444,23.66220836,212.1320344,0.56056765,0.356291,0.56056765,2.548034774,0.445,True,Residential,
446,24.88279673,182.6284287,0.58323688,0.318633033,0.58323688,2.651076726,0.447,True,Residential,
450,23.40789198,114.8050297,0.307359137,0.330820339,0.307359137,1.397086987,0.451,True,Residential,
452,23.80417248,77.64571353,0.446291488,0.306789772,0.446291488,2.028597671,0.453,True,Residential,
510,32.20634823,114.8050297,0.422308224,0.316800663,0.422308224,1.919582837,0.511,True,Residential,
513,31.58009739,166.6710699,0.35133939,0.310596517,0.35133939,1.596997229,0.514,True,Residential,
515,31.32866791,197.8037445,0.27841395,0.310086544,0.27841395,1.265517954,0.516,True,Residential,
517,30.60629043,225.5519422,0.434941799,0.342967001,0.434941799,1.977008176,0.518,True,Residential,
519,31.07470628,249.4408837,0.447999088,0.350121037,0.447999088,2.036359493,0.52,False,Residential,
520,30.4417423,259.8076211,0.534812956,0.300481486,0.534812956,2.430967983,0.521,True,Residential,
523,30.79874303,284.0790388,0.313462535,0.368286573,0.313462535,1.424829706,0.524,False,Residential,
524,30.07704282,289.7777479,0.287573505,0.360940699,0.287573505,1.307152296,0.525,False,Residential,
525,30.90307035,294.2355841,0.211797545,0.361491759,0.211797545,0.962716115,0.526,False,Residential,
526,31.58419168,297.4334584,0.286943265,0.382101269,0.286943265,1.304287569,0.527,False,Residential,
527,32.26470135,299.357677,0.525548377,0.384723817,0.525548377,2.388856259,0.528,False,Residential,
528,32.54228532,300.0,0.31148202,0.328176142,0.31148202,1.415827363,0.529,False,Residential,
529,33.27716181,299.357677,0.321792001,0.325305637,0.321792001,1.462690915,0.53,False,Residential,
530,32.50323459,297.4334584,0.240443086,0.319697056,0.240443086,1.092923116,0.531,False,Residential,
531,32.30410893,294.2355841,0.313654889,0.33394465,0.313654889,1.425704041,0.532,False,Residential,
533,31.20888783,284.0790388,0.5882301,0.40153426,0.5882301,2.673773182,0.534,False,Residential,
534,32.00196175,277.1638598,0.304412393,0.325496495,0.304412393,1.383692696,0.535,False,Residential,
535,32.43157707,269.0618225,0.235682003,0.318684362,0.235682003,1.071281832,0.536,False,Residential,
536,31.57174401,259.8076211,0.344294236,0.327029317,0.344294236,1.564973802,0.537,False,Residential,
537,31.93730174,249.4408837,0.202685289,0.305907663,0.202685289,0.921296769,0.538,False,Residential,
538,31.11301097,238.0060021,0.284966365,0.317596561,0.284966365,1.295301658,0.539,False,Residential,
539,31.75828509,225.5519422,0.202523874,0.305856471,0.202523874,0.920563062,0.54,False,Residential,
540,30.81338151,212.1320344,0.466132485,0.311613488,0.466132485,2.118784025,0.541,True,Residential,
543,29.38747284,166.6710699,0.326941472,0.343221418,0.326941472,1.486097602,0.544,False,Residential,
544,30.17654069,150.0,0.434769532,0.303153818,0.434769532,1.976225146,0.545,True,Residential,
548,30.0111092,77.64571353,0.476409216,0.317942304,0.476409216,2.165496434,0.549,True,Residential,
606,23.63248583,114.8050297,0.377518737,0.320423763,0.377518737,1.71599426,0.607,True,Residential,
609,24.35619463,166.6710699,0.399758961,0.325416988,0.399758961,1.817086185,0.61,True,Residential,
611,25.34492743,197.8037445,0.388851595,0.312802122,0.388851595,1.767507248,0.612,True,Residential,
613,25.74055408,225.5519422,0.51903613,0.318073169,0.51903613,2.359255137,0.614,True,Residential,
615,25.63214179,249.4408837,0.465146098,0.304203622,0.465146098,2.114300447,0.616,True,Residential,
617,25.1832421,269.0618225,0.578667847,0.315229224,0.578667847,2.630308397,0.618,True,Residential,
619,25.85243591,284.0790388,0.369109455,0.307118682,0.369109455,1.677770249,0.62,True,Residential,
621,25.02743765,294.2355841,0.548562785,0.358305515,0.548562785,2.493467204,0.622,True,Residential,
623,26.36560439,299.357677,0.210578847,0.36908208,0.210578847,0.957176577,0.624,False,Residential,
624,27.11317026,300.0,0.248646834,0.391276787,0.248646834,1.130212882,0.625,False,Residential,
625,26.95659066,299.357677,0.204328165,0.404115079,0.204328165,0.928764384,0.626,False,Residential,
626,27.01506785,297.4334584,0.54024281,0.427872457,0.54024281,2.455649135,0.627,False,Residential,
627,27.06898693,294.2355841,0.502558903,0.367170119,0.502558903,2.284358649,0.628,False,Residential,
628,27.67258288,289.7777479,0.454576719,0.315089289,0.454576719,2.066257814,0.629,True,Residential,
630,27.05505011,277.1638598,0.334890544,0.344909306,0.334890544,1.522229744,0.631,False,Residential,
631,26.56307649,269.0618225,0.475160943,0.330477635,0.475160943,2.159822468,0.632,True,Residential,
633,25.59217105,249.4408837,0.569380989,0.343904761,0.569380989,2.588095405,0.634,True,Residential,
635,25.43007485,225.5519422,0.28388095,0.323421235,0.28388095,1.290367953,0.636,False,Residential,
636,26.15822979,212.1320344,0.409629491,0.308838983,0.409629491,1.861952231,0.637,True,Residential,
638,26.47459302,182.6284287,0.566949777,0.308915555,0.566949777,2.57704444,0.639,True,Residential,
642,28.20747594,114.8050297,0.502382285,0.325174637,0.502382285,2.283555841,0.643,True,Residential,
648,26.27075413,3.67e-14,0.416021782,0.301126185,0.416021782,1.891008098,0.649,True,Residential,
703,28.01270241,132.6866071,0.540584014,0.301547119,0.540584014,2.457200064,0.704,True,Residential,
707,28.76714056,197.8037445,0.228157056,0.324824875,0.228157056,1.037077529,0.708,False,Residential,
708,29.08933408,212.1320344,0.215933525,0.317236547,0.215933525,0.981516023,0.709,False,Residential,
709,28.52083516,225.5519422,0.452224643,0.316286174,0.452224643,2.055566558,0.71,True,Residential,
711,28.80518743,249.4408837,0.435334409,0.319119499,0.435334409,1.978792767,0.712,True,Residential,
713,29.57580707,269.0618225,0.495912906,0.337598023,0.495912906,2.254149573,0.714,True,Residential,
715,28.63880626,284.0790388,0.362735881,0.350176217,0.362735881,1.648799458,0.716,False,Residential,
716,29.10929821,289.7777479,0.34388253,0.330512007,0.34388253,1.563102411,0.717,False,Residential,
717,28.52101254,294.2355841,0.269822571,0.316985811,0.269822571,1.226466233,0.718,False,Residential,
718,28.75645821,297.4334584,0.329590441,0.323089065,0.329590441,1.498138368,0.719,False,Residential,
719,27.86934514,299.357677,0.422022325,0.315049819,0.422022325,1.918283296,0.72,True,Residential,
721,28.49545967,299.357677,0.495031647,0.359383657,0.495031647,2.25014385,0.722,False,Residential,
722,27.73506409,297.4334584,0.212096973,0.310465164,0.212096973,0.964077152,0.723,False,Residential,
723,27.56396476,294.2355841,0.208128613,0.331799286,0.208128613,0.946039149,0.724,False,Residential,
724,28.35812417,289.7777479,0.543892595,0.353326029,0.543892595,2.47223907,0.725,True,Residential,
726,27.73772982,277.1638598,0.326206427,0.360817076,0.326206427,1.482756485,0.727,False,Residential,
727,28.65165425,269.0618225,0.478849829,0.348556435,0.478849829,2.176590133,0.728,True,Residential,
729,29.03033163,249.4408837,0.237887825,0.361061338,0.237887825,1.081308296,0.73,False,Residential,
730,29.13821822,238.0060021,0.560577326,0.363949603,0.560577326,2.548078754,0.731,True,Residential,
732,30.20694216,212.1320344,0.214361632,0.339694757,0.214361632,0.974371055,0.733,False,Residential,
733,30.36156758,197.8037445,0.504396241,0.339137358,0.504396241,2.292710186,0.734,True,Residential,
735,29.60684978,166.6710699,0.324967921,0.308146341,0.324967921,1.477126912,0.736,True,Residential,
737,29.23262894,132.6866071,0.521593697,0.306072128,0.521593697,2.370880441,0.738,True,Residential,
743,28.38124011,19.62093877,0.500361645,0.30548724,0.500361645,2.274371113,0.744,True,Residential,
799,32.4194337,132.6866071,0.345061503,0.301547119,0.345061503,1.568461377,0.8,True,Residential,
802,33.47563965,182.6284287,0.363898661,0.327621162,0.363898661,1.654084821,0.803,True,Residential,
804,33.69541777,212.1320344,0.277626636,0.331754541,0.277626636,1.261939256,0.805,False,Residential,
805,34.6648659,225.5519422,0.467625794,0.31538089,0.467625794,2.125571789,0.806,True,Residential,
807,35.4103559,249.4408837,0.378926645,0.314363928,0.378926645,1.72239384,0.808,True,Residential,
809,36.40032515,269.0618225,0.531443946,0.346944393,0.531443946,2.415654302,0.81,True,Residential,
811,35.58984054,284.0790388,0.264633747,0.350639827,0.264633747,1.202880666,0.812,False,Residential,
812,35.22597317,289.7777479,0.599722686,0.35550115,0.599722686,2.72601221,0.813,True,Residential,
814,35.19978887,297.4334584,0.207356232,0.351573811,0.207356232,0.942528327,0.815,False,Residential,
815,36.04086254,299.357677,0.305533428,0.374093118,0.305533428,1.388788311,0.816,False,Residential,
816,36.02589022,300.0,0.414457941,0.37254918,0.414457941,1.883899733,0.817,False,Residential,
817,36.63347291,299.357677,0.459865273,0.343934695,0.459865273,2.090296693,0.818,False,Residential,
818,36.44272259,297.4334584,0.229193334,0.303807796,0.229193334,1.041787883,0.819,False,Residential,
819,35.83431551,294.2355841,0.414433173,0.320867827,0.414433173,1.883787151,0.82,True,Residential,
821,35.17111477,284.0790388,0.306847319,0.363262867,0.306847319,1.394760539,0.822,False,Residential,
822,34.6537621,277.1638598,0.22964568,0.357570797,0.22964568,1.043844001,0.823,False,Residential,
823,34.25519911,269.0618225,0.407088898,0.369450342,0.407088898,1.850404081,0.824,False,Residential,
824,33.46955142,259.8076211,0.537951349,0.334943573,0.537951349,2.445233406,0.825,True,Residential,
826,33.12511858,238.0060021,0.428166189,0.327767862,0.428166189,1.946209951,0.827,True,Residential,
828,33.21936199,212.1320344,0.50005553,0.3366158,0.50005553,2.272979681,0.829,True,Residential,
830,34.04974667,182.6284287,0.448462758,0.314085863,0.448462758,2.03846708,0.831,True,Residential,
833,35.18373288,132.6866071,0.482952886,0.326795048,0.482952886,2.19524039,0.834,True,Residential,
837,33.58894376,58.5270966,0.427616056,0.311449124,0.427616056,1.943709347,0.838,True,Residential,
894,35.51180109,114.8050297,0.302075866,0.306717445,0.302075866,1.37307212,0.895,True,Residential,
897,36.30129955,166.6710699,0.204568269,0.330571387,0.204568269,0.929855769,0.898,False,Residential,
898,35.89805582,182.6284287,0.554141044,0.321097087,0.554141044,2.518822926,0.899,True,Residential,
901,36.38189997,225.5519422,0.506305556,0.330702878,0.506305556,2.301388889,0.902,True,Residential,
903,36.5832775,249.4408837,0.358065751,0.320015976,0.358065751,1.627571597,0.904,True,Residential,
905,37.26122759,269.0618225,0.577382772,0.357811664,0.577382772,2.624467146,0.906,True,Residential,
907,37.54724244,284.0790388,0.519023877,0.350022391,0.519023877,2.359199441,0.908,True,Residential,
909,37.44141635,294.2355841,0.572038293,0.363730619,0.572038293,2.600174058,0.91,True,Residential,
911,38.3181981,299.357677,0.259260465,0.368638306,0.259260465,1.178456661,0.912,False,Residential,
912,38.11607903,300.0,0.285260116,0.378662609,0.285260116,1.296636891,0.913,False,Residential,
913,38.3766063,299.357677,0.297711989,0.38234758,0.297711989,1.353236313,0.914,False,Residential,
914,37.43770034,297.4334584,0.339967811,0.382759002,0.339967811,1.54530823,0.915,False,Residential,
915,36.87940267,294.2355841,0.321320424,0.372125414,0.321320424,1.46054738,0.916,False,Residential,
916,37.03963326,289.7777479,0.45099424,0.365354204,0.45099424,2.049973818,0.917,False,Residential,
917,36.58352254,284.0790388,0.49037244,0.325050081,0.49037244,2.228965637,0.918,True,Residential,
919,36.47017502,269.0618225,0.582223987,0.342767696,0.582223987,2.646472667,0.92,True,Residential,
921,36.99580505,249.4408837,0.479153246,0.32942906,0.479153246,2.177969302,0.922,True,Residential,
923,37.88973542,225.5519422,0.548457738,0.33150247,0.548457738,2.492989716,0.924,True,Residential,
925,38.55452271,197.8037445,0.486838225,0.30380903,0.486838225,2.212901021,0.926,True,Residential,
928,37.30278285,150.0,0.256139082,0.318875284,0.256139082,1.164268555,0.929,True,Residential,
930,35.86742263,114.8050297,0.278239724,0.325512166,0.278239724,1.264726019,0.931,True,Residential,
932,36.35036543,77.64571353,0.579691808,0.308761452,0.579691808,2.634962764,0.933,True,Residential,
990,27.27644912,114.8050297,0.486605167,0.302172335,0.486605167,2.211841669,0.991,True,Residential,
994,27.70098704,182.6284287,0.272184304,0.32156172,0.272184304,1.237201382,0.995,True,Residential,
996,27.78367652,212.1320344,0.510298684,0.348623687,0.510298684,2.319539475,0.997,True,Residential,
998,27.54912744,238.0060021,0.249261737,0.33047001,0.249261737,1.133007894,0.999,False,Residential,
999,27.99279305,249.4408837,0.429390059,0.327656076,0.429390059,1.951772997,1.0,True,Residential,
1001,27.78510873,269.0618225,0.541504272,0.347620688,0.541504272,2.461383056,1.002,True,Residential,
1003,26.56723892,284.0790388,0.373471122,0.34880104,0.373471122,1.697596007,1.004,False,Residential,
1004,27.47924421,289.7777479,0.367741768,0.32645302,0.367741768,1.671553491,1.005,False,Residential,
1005,27.25818776,294.2355841,0.378000364,0.306962014,0.378000364,1.718183471,1.006,True,Residential,
1007,26.79931037,299.357677,0.527731511,0.360379184,0.527731511,2.398779595,1.008,False,Residential,
1008,26.0065118,300.0,0.365865729,0.303285726,0.365865729,1.663026041,1.009,True,Residential,
1010,26.70191186,297.4334584,0.378151153,0.361658713,0.378151153,1.718868876,1.011,False,Residential,
1011,27.04931685,294.2355841,0.58458191,0.341479289,0.58458191,2.6571905,1.012,True,Residential,
1013,27.4471034,284.0790388,0.417778321,0.341337145,0.417778321,1.898992368,1.014,False,Residential,
1014,28.39228046,277.1638598,0.221766263,0.307912324,0.221766263,1.00802847,1.015,False,Residential,
1015,27.95514931,269.0618225,0.522254425,0.321761723,0.522254425,2.373883752,1.016,True,Residential,
1017,26.15002404,249.4408837,0.441980849,0.323415478,0.441980849,2.009003858,1.018,True,Residential,
1019,26.43073587,225.5519422,0.386085904,0.334781987,0.386085904,1.75493593,1.02,True,Residential,
1021,26.61351006,197.8037445,0.344331882,0.347681505,0.344331882,1.565144918,1.022,False,Residential,
1022,25.73165088,182.6284287,0.208473217,0.311049471,0.208473217,0.947605531,1.023,False,Residential,
1023,25.10481499,166.6710699,0.517606864,0.304588274,0.517606864,2.352758474,1.024,True,Residential,
1027,23.13459175,96.43183959,0.308014418,0.316227234,0.308014418,1.400065538,1.028,True,Residential,
1031,22.78587392,19.62093877,0.527733897,0.307164256,0.527733897,2.398790443,1.032,True,Residential,
1087,26.54634718,132.6866071,0.597188005,0.301547119,0.597188005,2.714490932,1.088,True,Residential,
1091,26.97981243,197.8037445,0.36971296,0.324824875,0.36971296,1.680513456,1.092,True,Residential,
1093,26.85385285,225.5519422,0.401698141,0.334880579,0.401698141,1.825900643,1.094,True,Residential,
1095,26.2434326,249.4408837,0.291393897,0.35034553,0.291393897,1.324517715,1.096,False,Residential,
1096,26.65837801,259.8076211,0.308803391,0.339857277,0.308803391,1.403651777,1.097,False,Residential,
1097,27.21566295,269.0618225,0.215583767,0.327608334,0.215583767,0.979926213,1.098,False,Residential,
1098,26.92759876,277.1638598,0.202151689,0.340977848,0.202151689,0.918871313,1.099,False,Residential,
1099,26.66589091,284.0790388,0.287656411,0.359730891,0.287656411,1.307529141,1.1,False,Residential,
1100,26.94072444,289.7777479,0.357227231,0.358836548,0.357227231,1.623760142,1.101,False,Residential,
1101,27.05046337,294.2355841,0.207775905,0.341974177,0.207775905,0.944435931,1.102,False,Residential,
1102,26.60731132,297.4334584,0.356335523,0.363589097,0.356335523,1.619706923,1.103,False,Residential,
1103,26.83118482,299.357677,0.210319194,0.348863581,0.210319194,0.955996338,1.104,False,Residential,
1104,27.3984974,300.0,0.565070322,0.371123201,0.565070322,2.568501462,1.105,False,Residential,
1105,26.69660852,299.357677,0.342083836,0.304855621,0.342083836,1.554926529,1.106,True,Residential,
1107,27.20235454,294.2355841,0.46925173,0.368532446,0.46925173,2.13296241,1.108,False,Residential,
1108,26.60287438,289.7777479,0.384842739,0.324778409,0.384842739,1.749285176,1.109,False,Residential,
1109,26.32817805,284.0790388,0.434650344,0.301012161,0.434650344,1.975683381,1.11,True,Residential,
1111,25.26384948,269.0618225,0.481001486,0.3326603,0.481001486,2.186370391,1.112,True,Residential,
1113,24.64684327,249.4408837,0.332332591,0.34462729,0.332332591,1.510602686,1.114,False,Residential,
1114,24.54105345,238.0060021,0.361262982,0.323904363,0.361262982,1.642104465,1.115,True,Residential,
1116,25.20597038,212.1320344,0.343181813,0.349478103,0.343181813,1.559917331,1.117,False,Residential,
